setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,500,ordered_logit,category_effect,4,-0.31923,-0.0002774810768212229,0.004199766533276253,0.3189525189231788,0.3189525189231788,0.31897989119376385,0.3189525189231788,0.00041997665332762525,100,100,0,20
heteroskedastic,500,ordered_probit,cumulative_ge_effect,2,-0.14665,0.03815322556734823,0.023826123637198025,0.18480322556734827,0.18480322556734827,0.18631757701836799,0.18480322556734827,0.0023826123637198026,100,100,0,20
heteroskedastic,500,ordered_probit,cumulative_ge_effect,3,-0.139,0.04239090583343442,0.02658801009121637,0.18139090583343445,0.18139090583343445,0.1833098845585758,0.18139090583343445,0.002658801009121637,100,100,0,20
heteroskedastic,500,ordered_probit,cumulative_ge_effect,4,-0.06203,0.0532759570712379,0.033836375065721215,0.1153059570712379,0.1153059570712379,0.12012041879267003,0.1153059570712379,0.0033836375065721216,100,100,0,20
heteroskedastic,500,ordered_probit,cumulative_ge_effect,5,0.2572,0.053778916979995636,0.03490388248097586,-0.20342108302000433,0.20342108302000433,0.20636432642090738,0.20342108302000433,0.003490388248097586,100,100,0,20
heteroskedastic,500,ordered_probit,latent_beta,0,,0.1586723696920496,0.10259430094721363,,,,,0.010259430094721363,100,100,0,20
heteroskedastic,500,ordered_probit,latent_beta,1,,0.23049669485517563,0.09442734599214192,,,,,0.009442734599214192,100,100,0,20
heteroskedastic,500,ordered_probit,latent_beta,2,,-0.29002584117971053,0.04431777318108808,,,,,0.004431777318108808,100,100,0,20
heteroskedastic,500,ordered_probit,latent_beta,3,,0.1554037782353371,0.05306527638600276,,,,,0.005306527638600276,100,100,0,20
heteroskedastic,500,ordered_probit,latent_beta,4,,-0.12464207979401497,0.0485366489288128,,,,,0.00485366489288128,100,100,0,20
heteroskedastic,500,ordered_probit,wasserstein_unit,1,0.6048799999999999,0.19079179068077098,0.11375454242147093,-0.41408820931922896,0.41408820931922896,0.42927816163824195,0.41408820931922896,0.011375454242147092,100,100,0,20
heteroskedastic,500,model_free_flow,category_effect,5,0.2572,0.2566227444808831,0.04633603811050349,-0.0005772555191168862,0.0005772555191168862,0.046107389510083974,0.03712874296035597,0.004633603811050349,100,100,0,20
